# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.initializing.ms,1772428350416000000,1772428410428000000,0
workspaceModel.pre.handlers.ms,1772428350416000000,1772428410428000000,0
workspaceModel.update.unloaded.entities.ms,1772428350416000000,1772428410428000000,0
workspaceModel.check.recursive.update.ms,1772428350416000000,1772428410428000000,0
workspaceModel.updates.precise.ms,1772428350416000000,1772428410428000000,8
workspaceModel.updates.count,1772428350416000000,1772428410428000000,3
workspaceModel.loading.total.ms,1772428350416000000,1772428410428000000,41
workspaceModel.to.snapshot.ms,1772428350416000000,1772428410428000000,1
workspaceModel.init.bridges.ms,1772428350416000000,1772428410428000000,0
workspaceModel.collect.changes.ms,1772428350416000000,1772428410428000000,0
workspaceModel.replace.project.model.ms,1772428350416000000,1772428410428000000,0
workspaceModel.updates.ms,1772428350416000000,1772428410428000000,23
workspaceModel.loading.from.cache.ms,1772428350416000000,1772428410428000000,38
Indexes.stubs.lookupDurationAvgMs,1772428350416000000,1772428410428000000,0.05555555555555555
Indexes.stubs.lookups,1772428350416000000,1772428410428000000,36.0
IndexesFlusher.totalContentionQuotaSpent,1772428350416000000,1772428410428000000,0
Indexes.entries.lookupDurationMaxMs,1772428350416000000,1772428410428000000,4.0
Indexes.entries.lookupDurationAvgMs,1772428350416000000,1772428410428000000,1.375
VFSFlusher.totalContentionQuotaSpent,1772428350416000000,1772428410428000000,0
Indexes.allKeys.lookupDurationAvgMs,1772428350416000000,1772428410428000000,0.0
Indexes.allKeys.lookupDuration90PMs,1772428350416000000,1772428410428000000,0.0
Indexes.entries.lookupDuration90PMs,1772428350416000000,1772428410428000000,4.0
IndexesFlusher.totalFlushesRetried,1772428350416000000,1772428410428000000,0
Indexes.stubs.lookupDurationMaxMs,1772428350416000000,1772428410428000000,1.0
VFSFlusher.totalFlushesRetried,1772428350416000000,1772428410428000000,0
Indexes.stubs.lookupDuration90PMs,1772428350416000000,1772428410428000000,0.0
Indexes.entries.lookups,1772428350416000000,1772428410428000000,8.0
IndexesFlusher.totalFlushes,1772428350416000000,1772428410428000000,58
VFSFlusher.totalFlushingTimeUs,1772428350416000000,1772428410428000000,14560
IndexesFlusher.totalFlushingTimeUs,1772428350416000000,1772428410428000000,461159
Indexes.allKeys.lookups,1772428350416000000,1772428410428000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1772428350416000000,1772428410428000000,0.0
VFSFlusher.totalFlushes,1772428350416000000,1772428410428000000,5
AWTEventQueue.eventsDispatched,1772428350416000000,1772428410428000000,34499
AWTEventQueue.dispatchTimeMaxNs,1772428350416000000,1772428410428000000,253755391
AWTEventQueue.dispatchTimeAvgNs,1772428350416000000,1772428410428000000,266340.83422707906
FlushQueue.executionTimeAvgNs,1772428350416000000,1772428410428000000,552839.4406451613
FlushQueue.executionTime90PNs,1772428350416000000,1772428410428000000,292863
NonBlockingReadAction.finalizedExecutionsCount,1772428350416000000,1772428410428000000,35
FlushQueue.waitingTimeAvgNs,1772428350416000000,1772428410428000000,1.4444691880645161E7
NonBlockingReadAction.finalizedExecutionTimeUs,1772428350416000000,1772428410428000000,339817
FlushQueue.waitingTime90PNs,1772428350416000000,1772428410428000000,28180479
NonBlockingReadAction.failedExecutionTimeUs,1772428350416000000,1772428410428000000,14068
FlushQueue.waitingTimeMaxNs,1772428350416000000,1772428410428000000,371195903
AWTEventQueue.dispatchTime90PNs,1772428350416000000,1772428410428000000,208895
FlushQueue.queueSizeMax,1772428350416000000,1772428410428000000,67
FlushQueue.tasksExecuted,1772428350416000000,1772428410428000000,3100
AWTEventQueue.dispatchTimeTotalNS,1772428350416000000,1772428410428000000,9188523282
FlushQueue.queueSizeAvg,1772428350416000000,1772428410428000000,4.77741935483871
FlushQueue.executionTimeMaxNs,1772428350416000000,1772428410428000000,249561087
FlushQueue.queueSize90P,1772428350416000000,1772428410428000000,15
NonBlockingReadAction.failedExecutionsCount,1772428350416000000,1772428410428000000,2
FilePageCache.totalPageDisposalsUs,1772428350416000000,1772428410428000000,218
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1772428350416000000,1772428410428000000,3673311
FilePageCache.totalPageLoadsUs,1772428350416000000,1772428410428000000,69429
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1772428350416000000,1772428410428000000,0
DirectByteBufferAllocator.hits,1772428350416000000,1772428410428000000,3
StorageLockContext.competingThreads.avg,1772428350416000000,1772428410428000000,0.0
FilePageCache.disposedBuffers,1772428350416000000,1772428410428000000,3
FilePageCache.uncachedFileAccess,1772428350416000000,1772428410428000000,164
DirectByteBufferAllocator.misses,1772428350416000000,1772428410428000000,289
StorageLockContext.competingThreads.90P,1772428350416000000,1772428410428000000,0
FilePageCache.capacityInBytes,1772428350416000000,1772428410428000000,524288000
FilePageCache.pageLoadsAboveSizeThreshold,1772428350416000000,1772428410428000000,0
FilePageCache.pageHits,1772428350416000000,1772428410428000000,1
StorageLockContext.competingThreads.max,1772428350416000000,1772428410428000000,0
StreamlinedBlobStorage.recordsRelocated,1772428350416000000,1772428410428000000,0
StreamlinedBlobStorage.recordsDeleted,1772428350416000000,1772428410428000000,21
FilePageCache.maxCacheSizeInBytes,1772428350416000000,1772428410428000000,301031424
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1772428350416000000,1772428410428000000,301031424
StreamlinedBlobStorage.recordsAllocated,1772428350416000000,1772428410428000000,51791
FilePageCache.pageLoads,1772428350416000000,1772428410428000000,292
FilePageCache.pageFastCacheHits,1772428350416000000,1772428410428000000,142545
FilePageCache.maxRegisteredFiles,1772428350416000000,1772428410428000000,651
DirectByteBufferAllocator.reclaimed,1772428350416000000,1772428410428000000,3
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1772428350416000000,1772428410428000000,1006988
DirectByteBufferAllocator.disposed,1772428350416000000,1772428410428000000,0
FileNameCache.queries,1772428350416000000,1772428410428000000,1969171
FileNameCache.totalMisses,1772428350416000000,1772428410428000000,22702
FileNameCache.fastMisses,1772428350416000000,1772428410428000000,130934
workspaceModel.mutableEntityStorage.modify.entity.ms,1772428350416000000,1772428410428000000,3
jps.artifact.entities.serializer.save.entities.ms,1772428350416000000,1772428410428000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1772428350416000000,1772428410428000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1772428350416000000,1772428410428000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1772428350416000000,1772428410428000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1772428350416000000,1772428410428000000,2
workspaceModel.mutableEntityStorage.replace.by.source.ms,1772428350416000000,1772428410428000000,6
jps.apply.loaded.storage.ms,1772428350416000000,1772428410428000000,15
workspaceModel.mutableEntityStorage.add.entity.ms,1772428350416000000,1772428410428000000,7
workspaceModel.mutableEntityStorage.has.same.entities.ms,1772428350416000000,1772428410428000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1772428350416000000,1772428410428000000,4
jps.global.handle.changed.events.ms,1772428350416000000,1772428410428000000,0
jps.reload.project.entities.ms,1772428350416000000,1772428410428000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1772428350416000000,1772428410428000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1772428350416000000,1772428410428000000,1
workspaceModel.sync.entities.ms,1772428350416000000,1772428410428000000,0
jps.artifact.entities.serializer.load.entities.ms,1772428350416000000,1772428410428000000,0
jps.app.storage.content.reader.load.component.ms,1772428350416000000,1772428410428000000,0
workspaceModel.global.updates.count,1772428350416000000,1772428410428000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1772428350416000000,1772428410428000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1772428350416000000,1772428410428000000,0
jps.module.iml.entities.serializer.save.entities.ms,1772428350416000000,1772428410428000000,0
workspaceModel.mutableEntityStorage.entities.ms,1772428350416000000,1772428410428000000,0
workspaceModel.save.cache.to.file.ms,1772428350416000000,1772428410428000000,34
jps.project.serializers.load.ms,1772428350416000000,1772428410428000000,14
jps.library.entities.serializer.save.entities.ms,1772428350416000000,1772428410428000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1772428350416000000,1772428410428000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1772428350416000000,1772428410428000000,46
workspaceModel.moduleBridge.update.option.ms,1772428350416000000,1772428410428000000,0
jps.global.get.library.ms,1772428350416000000,1772428410428000000,0
workspaceModel.global.updates.ms,1772428350416000000,1772428410428000000,0
jps.global.initialize.library.bridges.after.loading.ms,1772428350416000000,1772428410428000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1772428350416000000,1772428410428000000,0
jps.global.get.library.by.name.ms,1772428350416000000,1772428410428000000,0
jps.load.initial.state.ms,1772428350416000000,1772428410428000000,2
workspaceModel.moduleBridge.before.changed.ms,1772428350416000000,1772428410428000000,0
jps.global.handle.before.change.events.ms,1772428350416000000,1772428410428000000,0
workspaceModel.load.cache.from.file.ms,1772428350416000000,1772428410428000000,37
jps.save.changed.project.entities.ms,1772428350416000000,1772428410428000000,0
jps.global.initialize.library.bridges.ms,1772428350416000000,1772428410428000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1772428350416000000,1772428410428000000,0
workspaceModel.orphan.listener.update.ms,1772428350416000000,1772428410428000000,1
workspaceModel.mutableEntityStorage.entities.by.source.ms,1772428350416000000,1772428410428000000,0
workspaceModel.global.apply.state.to.project.ms,1772428350416000000,1772428410428000000,14
jps.load.project.to.empty.storage.ms,1772428350416000000,1772428410428000000,30
jps.library.entities.serializer.load.entities.ms,1772428350416000000,1772428410428000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1772428350416000000,1772428410428000000,0
jps.module.iml.entities.serializer.load.entities.ms,1772428350416000000,1772428410428000000,6
jps.storage.jps.conf.reader.load.component.ms,1772428350416000000,1772428410428000000,5
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1772428350416000000,1772428410428000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1772428350416000000,1772428410428000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1772428350416000000,1772428410428000000,0
jps.facet.change.listener.before.change.events.ms,1772428350416000000,1772428410428000000,0
jps.facet.change.listener.init.bridge.ms,1772428350416000000,1772428410428000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1772428350416000000,1772428410428000000,50
workspaceModel.moduleManagerBridge.load.all.modules.ms,1772428350416000000,1772428410428000000,16
jps.project.serializers.save.ms,1772428350416000000,1772428410428000000,0
jps.save.global.entities.ms,1772428350416000000,1772428410428000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1772428350416000000,1772428410428000000,0
jps.global.get.libraries.ms,1772428350416000000,1772428410428000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1772428350416000000,1772428410428000000,0
jps.facet.change.listener.process.change.events.ms,1772428350416000000,1772428410428000000,0
JVM.totalCpuTimeMs,1772428350416000000,1772428410428000000,50099
JVM.GC.collections,1772428350416000000,1772428410428000000,43
JVM.maxNativeBytes,1772428350416000000,1772428410428000000,-1
JVM.usedNativeBytes,1772428350416000000,1772428410428000000,373122936
JVM.GC.collectionTimesMs,1772428350416000000,1772428410428000000,110
JVM.threadCount,1772428350416000000,1772428410428000000,142
OS.loadAverage,1772428350416000000,1772428410428000000,2.78759765625
JVM.usedHeapBytes,1772428350416000000,1772428410428000000,792001488
JVM.maxHeapBytes,1772428350416000000,1772428410428000000,2147483648
workspaceModel.initializing.ms,1772428410428000000,1772428470427000000,0
workspaceModel.pre.handlers.ms,1772428410428000000,1772428470427000000,0
workspaceModel.update.unloaded.entities.ms,1772428410428000000,1772428470427000000,0
workspaceModel.check.recursive.update.ms,1772428410428000000,1772428470427000000,0
workspaceModel.updates.precise.ms,1772428410428000000,1772428470427000000,8
workspaceModel.updates.count,1772428410428000000,1772428470427000000,3
workspaceModel.loading.total.ms,1772428410428000000,1772428470427000000,41
workspaceModel.to.snapshot.ms,1772428410428000000,1772428470427000000,1
workspaceModel.init.bridges.ms,1772428410428000000,1772428470427000000,0
workspaceModel.collect.changes.ms,1772428410428000000,1772428470427000000,0
workspaceModel.replace.project.model.ms,1772428410428000000,1772428470427000000,0
workspaceModel.updates.ms,1772428410428000000,1772428470427000000,23
workspaceModel.loading.from.cache.ms,1772428410428000000,1772428470427000000,38
Indexes.stubs.lookupDurationAvgMs,1772428410428000000,1772428470427000000,0.0
Indexes.stubs.lookups,1772428410428000000,1772428470427000000,0.0
IndexesFlusher.totalContentionQuotaSpent,1772428410428000000,1772428470427000000,0
Indexes.entries.lookupDurationMaxMs,1772428410428000000,1772428470427000000,0.0
Indexes.entries.lookupDurationAvgMs,1772428410428000000,1772428470427000000,0.0
VFSFlusher.totalContentionQuotaSpent,1772428410428000000,1772428470427000000,0
Indexes.allKeys.lookupDurationAvgMs,1772428410428000000,1772428470427000000,0.0
Indexes.allKeys.lookupDuration90PMs,1772428410428000000,1772428470427000000,0.0
Indexes.entries.lookupDuration90PMs,1772428410428000000,1772428470427000000,0.0
IndexesFlusher.totalFlushesRetried,1772428410428000000,1772428470427000000,0
Indexes.stubs.lookupDurationMaxMs,1772428410428000000,1772428470427000000,0.0
VFSFlusher.totalFlushesRetried,1772428410428000000,1772428470427000000,0
Indexes.stubs.lookupDuration90PMs,1772428410428000000,1772428470427000000,0.0
Indexes.entries.lookups,1772428410428000000,1772428470427000000,0.0
IndexesFlusher.totalFlushes,1772428410428000000,1772428470427000000,59
VFSFlusher.totalFlushingTimeUs,1772428410428000000,1772428470427000000,0
IndexesFlusher.totalFlushingTimeUs,1772428410428000000,1772428470427000000,497024
Indexes.allKeys.lookups,1772428410428000000,1772428470427000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1772428410428000000,1772428470427000000,0.0
VFSFlusher.totalFlushes,1772428410428000000,1772428470427000000,0
AWTEventQueue.eventsDispatched,1772428410428000000,1772428470427000000,6894
AWTEventQueue.dispatchTimeMaxNs,1772428410428000000,1772428470427000000,25296895
AWTEventQueue.dispatchTimeAvgNs,1772428410428000000,1772428470427000000,218167.51029881055
FlushQueue.executionTimeAvgNs,1772428410428000000,1772428470427000000,65300.804093567254
FlushQueue.executionTime90PNs,1772428410428000000,1772428470427000000,68607
NonBlockingReadAction.finalizedExecutionsCount,1772428410428000000,1772428470427000000,0
FlushQueue.waitingTimeAvgNs,1772428410428000000,1772428470427000000,190019.72124756334
NonBlockingReadAction.finalizedExecutionTimeUs,1772428410428000000,1772428470427000000,0
