# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.apply.loaded.storage.ms,1772426643506000000,1772426703510000000,998
workspaceModel.mutableEntityStorage.add.diff.ms,1772426643506000000,1772426703510000000,1
workspaceModel.moduleManagerBridge.build.module.graph.ms,1772426643506000000,1772426703510000000,2
jps.save.changed.project.entities.ms,1772426643506000000,1772426703510000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1772426643506000000,1772426703510000000,0
jps.library.entities.serializer.save.entities.ms,1772426643506000000,1772426703510000000,0
workspaceModel.sync.entities.ms,1772426643506000000,1772426703510000000,0
jps.module.iml.entities.serializer.load.entities.ms,1772426643506000000,1772426703510000000,88
workspaceModel.global.apply.state.to.project.ms,1772426643506000000,1772426703510000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1772426643506000000,1772426703510000000,1139
jps.global.handle.before.change.events.ms,1772426643506000000,1772426703510000000,0
jps.global.initialize.library.bridges.ms,1772426643506000000,1772426703510000000,0
jps.save.global.entities.ms,1772426643506000000,1772426703510000000,0
workspaceModel.global.updates.count,1772426643506000000,1772426703510000000,0
jps.library.entities.serializer.load.entities.ms,1772426643506000000,1772426703510000000,0
jps.global.get.libraries.ms,1772426643506000000,1772426703510000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1772426643506000000,1772426703510000000,5
jps.global.get.library.ms,1772426643506000000,1772426703510000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1772426643506000000,1772426703510000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1772426643506000000,1772426703510000000,1
jps.artifact.entities.serializer.load.entities.ms,1772426643506000000,1772426703510000000,0
workspaceModel.moduleBridge.update.option.ms,1772426643506000000,1772426703510000000,0
workspaceModel.global.updates.ms,1772426643506000000,1772426703510000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1772426643506000000,1772426703510000000,2
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1772426643506000000,1772426703510000000,0
jps.load.initial.state.ms,1772426643506000000,1772426703510000000,2
workspaceModel.save.cache.to.file.ms,1772426643506000000,1772426703510000000,27
workspaceModel.mutableEntityStorage.entities.ms,1772426643506000000,1772426703510000000,1
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1772426643506000000,1772426703510000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1772426643506000000,1772426703510000000,14
jps.load.project.to.empty.storage.ms,1772426643506000000,1772426703510000000,117
workspaceModel.load.cache.from.file.ms,1772426643506000000,1772426703510000000,0
jps.artifact.entities.serializer.save.entities.ms,1772426643506000000,1772426703510000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1772426643506000000,1772426703510000000,0
jps.project.serializers.load.ms,1772426643506000000,1772426703510000000,99
workspaceModel.orphan.listener.update.ms,1772426643506000000,1772426703510000000,0
jps.storage.jps.conf.reader.load.component.ms,1772426643506000000,1772426703510000000,5
jps.global.handle.changed.events.ms,1772426643506000000,1772426703510000000,0
jps.facet.change.listener.init.bridge.ms,1772426643506000000,1772426703510000000,0
jps.app.storage.content.reader.load.component.ms,1772426643506000000,1772426703510000000,0
jps.project.serializers.save.ms,1772426643506000000,1772426703510000000,0
jps.global.get.library.by.name.ms,1772426643506000000,1772426703510000000,0
jps.module.iml.entities.serializer.save.entities.ms,1772426643506000000,1772426703510000000,0
workspaceModel.moduleBridge.before.changed.ms,1772426643506000000,1772426703510000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1772426643506000000,1772426703510000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1772426643506000000,1772426703510000000,6
workspaceModel.global.apply.state.to.project.builder.ms,1772426643506000000,1772426703510000000,1
workspaceModel.moduleManagerBridge.newModule.ms,1772426643506000000,1772426703510000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1772426643506000000,1772426703510000000,10
workspaceModel.mutableEntityStorage.remove.entity.ms,1772426643506000000,1772426703510000000,0
jps.reload.project.entities.ms,1772426643506000000,1772426703510000000,0
jps.facet.change.listener.process.change.events.ms,1772426643506000000,1772426703510000000,1
workspaceModel.mutableEntityStorage.referrers.ms,1772426643506000000,1772426703510000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1772426643506000000,1772426703510000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1772426643506000000,1772426703510000000,0
jps.facet.change.listener.before.change.events.ms,1772426643506000000,1772426703510000000,1
workspaceModel.moduleManagerBridge.get.modules.ms,1772426643506000000,1772426703510000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1772426643506000000,1772426703510000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1772426643506000000,1772426703510000000,0
jps.global.initialize.library.bridges.after.loading.ms,1772426643506000000,1772426703510000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1772426643506000000,1772426703510000000,1
workspaceModel.delayed.project.synchronizer.sync.ms,1772426643506000000,1772426703510000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1772426643506000000,1772426703510000000,3671610
FilePageCache.pageFastCacheHits,1772426643506000000,1772426703510000000,7346348
DirectByteBufferAllocator.misses,1772426643506000000,1772426703510000000,315
FilePageCache.pageHits,1772426643506000000,1772426703510000000,1043208
StorageLockContext.competingThreads.avg,1772426643506000000,1772426703510000000,0.11016949152542373
FilePageCache.totalPageDisposalsUs,1772426643506000000,1772426703510000000,271
FilePageCache.pageLoadsAboveSizeThreshold,1772426643506000000,1772426703510000000,0
FilePageCache.uncachedFileAccess,1772426643506000000,1772426703510000000,285
StreamlinedBlobStorage.recordsDeleted,1772426643506000000,1772426703510000000,18
FilePageCache.pageLoads,1772426643506000000,1772426703510000000,320
FilePageCache.capacityInBytes,1772426643506000000,1772426703510000000,524288000
DirectByteBufferAllocator.disposed,1772426643506000000,1772426703510000000,0
StorageLockContext.competingThreads.90P,1772426643506000000,1772426703510000000,0
DirectByteBufferAllocator.hits,1772426643506000000,1772426703510000000,5
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1772426643506000000,1772426703510000000,963586
StreamlinedBlobStorage.recordsRelocated,1772426643506000000,1772426703510000000,0
FilePageCache.disposedBuffers,1772426643506000000,1772426703510000000,5
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1772426643506000000,1772426703510000000,0
FilePageCache.totalPageLoadsUs,1772426643506000000,1772426703510000000,75595
FilePageCache.maxCacheSizeInBytes,1772426643506000000,1772426703510000000,335577088
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1772426643506000000,1772426703510000000,335577088
DirectByteBufferAllocator.reclaimed,1772426643506000000,1772426703510000000,5
FilePageCache.maxRegisteredFiles,1772426643506000000,1772426703510000000,666
StorageLockContext.competingThreads.max,1772426643506000000,1772426703510000000,13
StreamlinedBlobStorage.recordsAllocated,1772426643506000000,1772426703510000000,51764
workspaceModel.init.bridges.ms,1772426643506000000,1772426703510000000,1
workspaceModel.updates.ms,1772426643506000000,1772426703510000000,56
workspaceModel.loading.from.cache.ms,1772426643506000000,1772426703510000000,9
workspaceModel.update.unloaded.entities.ms,1772426643506000000,1772426703510000000,0
workspaceModel.updates.precise.ms,1772426643506000000,1772426703510000000,5
workspaceModel.replace.project.model.ms,1772426643506000000,1772426703510000000,0
workspaceModel.collect.changes.ms,1772426643506000000,1772426703510000000,0
workspaceModel.check.recursive.update.ms,1772426643506000000,1772426703510000000,0
workspaceModel.to.snapshot.ms,1772426643506000000,1772426703510000000,2
workspaceModel.initializing.ms,1772426643506000000,1772426703510000000,1
workspaceModel.loading.total.ms,1772426643506000000,1772426703510000000,13
workspaceModel.pre.handlers.ms,1772426643506000000,1772426703510000000,1
workspaceModel.updates.count,1772426643506000000,1772426703510000000,1
IndexesFlusher.totalFlushingTimeUs,1772426643506000000,1772426703510000000,626820
